date,PREM,SMB,HML,RF
20161021,0.42,-0.3,0.62,0.004
20161028,-0.77,-2.35,1.43,0.004
20161104,-1.89,-0.51,1.16,0.004
20161111,4.67,6.02,2.53,0.004
20161118,1.29,1.01,1.38,0.004
20161125,1.64,0.81,0.62,0.004
20161202,-1.13,-2.14,3.89,0.006
20161209,3.35,1.99,1.86,0.006
20161216,-0.29,-1.37,-0.84,0.006
20161223,0.32,0.17,0.71,0.006
20161230,-1.16,-0.11,0.13,0.006
20170106,1.69,-0.58,-1.25,0.009
20170113,0.09,0.47,-1.04,0.009
20170120,-0.31,-1.13,-0.15,0.009
20170127,1.16,0.22,0.59,0.009
20170203,0.15,0.41,-0.67,0.009
20170210,0.88,0.14,-1.2,0.009
20170217,1.52,-0.54,-0.39,0.009
20170224,0.48,-1.09,-0.46,0.009
20170303,0.65,-0.93,-0.08,0.008
20170310,-0.55,-1.14,-1.69,0.008
20170317,0.48,1.84,-0.28,0.008
20170324,-1.65,-0.9,-1.81,0.008
20170331,1.05,1.62,0.8,0.008
20170407,-0.44,-1.34,0.14,0.014
20170413,-1.2,-0.22,-1.08,0.014
20170421,1.11,1.84,-0.2,0.014
20170428,1.64,0.29,-0.97,0.014
20170505,0.53,-0.77,-0.44,0.016
20170512,-0.32,-0.25,-1.23,0.016
20170519,-0.4,-0.81,-0.49,0.016
20170526,1.46,-0.27,-0.85,0.016
