,AAPL,,AMZN,,SMI,,NTGR,,PLT,,BRK.A,,XOM,,UHAL,,HRI,,DF
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
7/6/2012 16:00:00,86.55,41096.66667,225.05,41096.66667,1.54,41096.66667,36.26,41096.66667,33.72,41096.66667,123897.57,41096.66667,84.8,41096.66667,93.58,41096.66667,200.1,41096.66667,33.52
7/13/2012 16:00:00,86.42,41103.66667,218.39,41103.66667,1.58,41103.66667,33.11,41103.66667,32.52,41103.66667,126625,41103.66667,85.47,41103.66667,94.66,41103.66667,185.1,41103.66667,29.04
7/20/2012 16:00:00,86.33,41110.66667,228.29,41110.66667,1.49,41110.66667,33.29,41110.66667,32.39,41110.66667,125730,41110.66667,85.95,41110.66667,92.62,41110.66667,179.1,41110.66667,24.26
7/27/2012 16:00:00,83.59,41117.66667,237.32,41117.66667,1.82,41117.66667,34.44,41117.66667,33.29,41117.66667,127735,41117.66667,87.45,41117.66667,93.48,41117.66667,172.05,41117.66667,24.54
8/3/2012 16:00:00,87.96,41124.66667,234.97,41124.66667,1.72,41124.66667,35.34,41124.66667,33.2,41124.66667,128479,41124.66667,87.55,41124.66667,92.75,41124.66667,175.65,41124.66667,24.42
8/10/2012 16:00:00,88.81,41131.66667,232.75,41131.66667,1.88,41131.66667,37.76,41131.66667,36.8,41131.66667,127175,41131.66667,88.44,41131.66667,91.56,41131.66667,181.65,41131.66667,33.26
8/17/2012 16:00:00,92.59,41138.66667,241.17,41138.66667,1.85,41138.66667,39.44,41138.66667,36.54,41138.66667,128880,41138.66667,88.4,41138.66667,99.02,41138.66667,194.55,41138.66667,32.62
8/24/2012 16:00:00,94.746,41145.66667,245.74,41145.66667,1.91,41145.66667,37.49,41145.66667,35.26,41145.66667,128224.9,41145.66667,88.05,41145.66667,97.48,41145.66667,197.25,41145.66667,32.76
8/31/2012 16:00:00,95.03,41152.66667,248.27,41152.66667,1.86,41152.66667,36.57,41152.66667,35.66,41152.66667,126559.9,41152.66667,87.3,41152.66667,93.05,41152.66667,212.7,41152.66667,32.84
9/7/2012 16:00:00,97.21,41159.66667,259.14,41159.66667,1.85,41159.66667,38.88,41159.66667,36.58,41159.66667,129942,41159.66667,89.92,41159.66667,101.85,41159.66667,223.5,41159.66667,32.82
9/14/2012 16:00:00,98.75,41166.66667,261.27,41166.66667,1.96,41166.66667,39.25,41166.66667,37.66,41166.66667,133000,41166.66667,92.3,41166.66667,107.67,41166.66667,225,41166.66667,32.26
9/21/2012 16:00:00,100.014,41173.66667,257.47,41173.66667,1.84,41173.66667,38.32,41173.66667,36.15,41173.66667,134584,41173.66667,91.92,41173.66667,102.9,41173.66667,222.3,41173.66667,31.14
9/28/2012 16:00:00,95.301,41180.66667,254.32,41180.66667,1.8,41180.66667,38.14,41180.66667,35.33,41180.66667,132700,41180.66667,91.45,41180.66667,106.36,41180.66667,205.95,41180.66667,32.7
10/5/2012 16:00:00,93.23,41187.66667,258.51,41187.66667,1.9,41187.66667,37.11,41187.66667,35.24,41187.66667,135555,41187.66667,92.55,41187.66667,109.44,41187.66667,214.05,41187.66667,30.8
10/12/2012 16:00:00,89.959,41194.66667,242.36,41194.66667,1.83,41194.66667,37.18,41194.66667,34.13,41194.66667,132501.99,41194.66667,91.03,41194.66667,110.63,41194.66667,222.45,41194.66667,29.92
10/19/2012 16:00:00,87.12,41201.66667,240,41201.66667,1.96,41201.66667,37.32,41201.66667,32.94,41201.66667,133841,41201.66667,92.15,41201.66667,113.73,41201.66667,215.1,41201.66667,36.6
10/26/2012 16:00:00,86.29,41208.66667,238.24,41208.66667,1.88,41208.66667,35.32,41208.66667,32.95,41208.66667,129725,41208.66667,90.62,41208.66667,112.66,41208.66667,200.55,41208.66667,33.48
11/2/2012 16:00:00,82.4,41215.66667,232.4224,41215.66667,1.94,41215.66667,34.98,41215.66667,32.94,41215.66667,130550,41215.66667,90.27,41215.66667,114.35,41215.66667,196.5,41215.66667,33
11/9/2012 16:00:00,78.151,41222.66667,226.31,41222.66667,2.3,41222.66667,34.44,41222.66667,32.84,41222.66667,127585,41222.66667,87.21,41222.66667,118.05,41222.66667,215.1,41222.66667,33.48
11/16/2012 16:00:00,75.3826,41229.66667,225.23,41229.66667,2.29,41229.66667,33.46,41229.66667,31.3,41229.66667,129344.9,41229.66667,86.45,41229.66667,112.11,41229.66667,218.1,41229.66667,33.2
11/23/2012 13:00:00,81.6429,41236.54167,239.88,41236.54167,2.41,41236.54167,34.2,41236.54167,32.85,41236.54167,132606.01,41236.54167,89.09,41236.54167,116.01,41236.54167,225,41236.54167,33.98
11/30/2012 16:00:00,83.61,41243.66667,252.05,41243.66667,2.39,41243.66667,34.86,41243.66667,33.63,41243.66667,131916,41243.66667,88.14,41243.66667,120.01,41243.66667,234.6,41243.66667,34.28
12/7/2012 16:00:00,76.18,41250.66667,253.2681,41250.66667,2.45,41250.66667,35.31,41250.66667,33.95,41250.66667,131090,41250.66667,88.6,41250.66667,118.38,41250.66667,241.5,41250.66667,34.22
12/14/2012 16:00:00,72.828,41257.66667,249.19,41257.66667,2.42,41257.66667,36.5,41257.66667,34.57,41257.66667,133795,41257.66667,88.08,41257.66667,116.78,41257.66667,238.95,41257.66667,32.92
12/21/2012 16:00:00,74.19,41264.66667,256.92,41264.66667,2.3,41264.66667,39.27,41264.66667,36.86,41264.66667,134800,41264.66667,87.23,41264.66667,120.92,41264.66667,247.5,41264.66667,33.12
12/28/2012 16:00:00,72.7985,41271.66667,245.18,41271.66667,2.42,41271.66667,38.85,41271.66667,35.97,41271.66667,133000,41271.66667,85.1,41271.66667,122,41271.66667,237.3,41271.66667,32.24
1/4/2013 16:00:00,75.29,41278.66667,259.15,41278.66667,2.72,41278.66667,39.5392,41278.66667,37.57,41278.66667,140803.07,41278.66667,88.96,41278.66667,132.89,41278.66667,260.1,41278.66667,35.12
1/11/2013 16:00:00,74.33,41285.66667,267.94,41285.66667,3.06,41285.66667,39.06,41285.66667,37.38,41285.66667,141525,41285.66667,89.61,41285.66667,131.53,41285.66667,263.1,41285.66667,35.6
1/18/2013 16:00:00,71.43,41292.66667,272.12,41292.66667,3.08,41292.66667,39.73,41292.66667,37.84,41292.66667,143502,41292.66667,90.8,41292.66667,130.79,41292.66667,267.6,41292.66667,36.74
1/25/2013 16:00:00,62.84,41299.66667,283.99,41299.66667,3.04,41299.66667,40.11,41299.66667,39.26,41299.66667,147290,41299.66667,91.73,41299.66667,132.4,41299.66667,271.8,41299.66667,37.02
2/1/2013 16:00:00,64.803,41306.66667,265,41306.66667,3.09,41306.66667,36,41306.66667,40,41306.66667,147086.18,41306.66667,90.04,41306.66667,134.23,41306.66667,280.35,41306.66667,36.48
2/8/2013 16:00:00,67.85,41313.66667,261.95,41313.66667,2.82,41313.66667,36.91,41313.66667,40.15,41313.66667,146374,41313.66667,88.61,41313.66667,138.34,41313.66667,276.6,41313.66667,37.64
2/15/2013 16:00:00,65.74,41320.66667,265.09,41320.66667,2.9,41320.66667,33.69,41320.66667,41.05,41320.66667,150141,41320.66667,88.36,41320.66667,151.82,41320.66667,292.65,41320.66667,32.68
2/22/2013 16:00:00,64.4,41327.66667,265.42,41327.66667,2.72,41327.66667,33.7,41327.66667,40.92,41327.66667,152009,41327.66667,89.2,41327.66667,151.1,41327.66667,280.95,41327.66667,31.68
3/1/2013 16:00:00,61.5,41334.66667,265.74,41334.66667,2.9,41334.66667,33.75,41334.66667,40.53,41334.66667,152750,41334.66667,89.43,41334.66667,150.9,41334.66667,297.3,41334.66667,33.84
3/8/2013 16:00:00,61.67,41341.66667,274.19,41341.66667,2.91,41341.66667,34.782,41341.66667,42.68,41341.66667,155411.26,41341.66667,88.97,41341.66667,158.7,41341.66667,312.15,41341.66667,35.66
3/15/2013 16:00:00,63.38,41348.66667,261.82,41348.66667,2.8,41348.66667,34.735,41348.66667,43.08,41348.66667,153500,41348.66667,89.37,41348.66667,166.21,41348.66667,319.2,41348.66667,36.8
3/22/2013 16:00:00,65.99,41355.66667,257.75,41355.66667,3.02,41355.66667,33.39,41355.66667,43.47,41355.66667,153741,41355.66667,89.29,41355.66667,174.35,41355.66667,321.3,41355.66667,36.62
3/28/2013 16:00:00,63.24,41361.66667,266.49,41361.66667,2.92,41361.66667,33.51,41361.66667,44.19,41361.66667,156280,41361.66667,90.11,41361.66667,173.54,41361.66667,333.9,41361.66667,36.26
